publisher	journal	issn	role	editor	affiliation	url	date
Inderscience	African Journal of Accounting, Auditing and Finance	2046-8091	Editor	Sy, Aida	Farmingdale State College, USA(aida.sy1776gmail.com)	https://www.inderscience.com/jhome.php?jcode=ajaaf#edboard-content	2022-01-04
Inderscience	African Journal of Accounting, Auditing and Finance	2046-8091	Associate Editors	James, Kieran	University of the West of Scotland, UK	https://www.inderscience.com/jhome.php?jcode=ajaaf#edboard-content	2022-01-04
Inderscience	African Journal of Accounting, Auditing and Finance	2046-8091	Associate Editors	Mickhail, George	University of Wollongong, Australia	https://www.inderscience.com/jhome.php?jcode=ajaaf#edboard-content	2022-01-04
Inderscience	African Journal of Accounting, Auditing and Finance	2046-8091	Advisory Board	Briggs, Susan	University of South Australia, Australia	https://www.inderscience.com/jhome.php?jcode=ajaaf#edboard-content	2022-01-04
Inderscience	African Journal of Accounting, Auditing and Finance	2046-8091	Advisory Board	Casta, Jean-Francois	Université Paris Dauphine, France	https://www.inderscience.com/jhome.php?jcode=ajaaf#edboard-content	2022-01-04
Inderscience	African Journal of Accounting, Auditing and Finance	2046-8091	Advisory Board	Degos, Jean-Guy	Montesquieu University, France	https://www.inderscience.com/jhome.php?jcode=ajaaf#edboard-content	2022-01-04
Inderscience	African Journal of Accounting, Auditing and Finance	2046-8091	Advisory Board	Smith, L. Murphy	Texas A&M University-Corpus Christi, USA	https://www.inderscience.com/jhome.php?jcode=ajaaf#edboard-content	2022-01-04
Inderscience	African Journal of Accounting, Auditing and Finance	2046-8091	Advisory Board	Tinker, Tony	Baruch College at the City University of New York, USA	https://www.inderscience.com/jhome.php?jcode=ajaaf#edboard-content	2022-01-04
Inderscience	African Journal of Accounting, Auditing and Finance	2046-8091	Editorial Board Members	Akindayomi, Akinloye	University of Texas - Pan American, USA	https://www.inderscience.com/jhome.php?jcode=ajaaf#edboard-content	2022-01-04
Inderscience	African Journal of Accounting, Auditing and Finance	2046-8091	Editorial Board Members	Ambe, Cosmas M.	University of Limpopo, South Africa	https://www.inderscience.com/jhome.php?jcode=ajaaf#edboard-content	2022-01-04
Inderscience	African Journal of Accounting, Auditing and Finance	2046-8091	Editorial Board Members	Formigoni, Henrique	Presbyterian University Mackenzie, Brazil	https://www.inderscience.com/jhome.php?jcode=ajaaf#edboard-content	2022-01-04
Inderscience	African Journal of Accounting, Auditing and Finance	2046-8091	Editorial Board Members	Forsberg, Per	Örebro University School of Business, Sweden	https://www.inderscience.com/jhome.php?jcode=ajaaf#edboard-content	2022-01-04
Inderscience	African Journal of Accounting, Auditing and Finance	2046-8091	Editorial Board Members	Garcia-Benau, Maria A.	Universidad de Valencia , Spain	https://www.inderscience.com/jhome.php?jcode=ajaaf#edboard-content	2022-01-04
Inderscience	African Journal of Accounting, Auditing and Finance	2046-8091	Editorial Board Members	Ghodbane, Sana Ben	Tunisia University of Carthage, Tunisia	https://www.inderscience.com/jhome.php?jcode=ajaaf#edboard-content	2022-01-04
Inderscience	African Journal of Accounting, Auditing and Finance	2046-8091	Editorial Board Members	Imoniana, Joshua Onome	University of São Paulo, Brazil	https://www.inderscience.com/jhome.php?jcode=ajaaf#edboard-content	2022-01-04
